# Created on 2018-12-12 16:18:02 
# Sources: d:\gpsother\tec-suite\in\2015\abcd0770.15d.Z, d:\gpsother\tec-suite\in\2015\brdc0770.15n.Z
# Satellite: G22
# Interval: 30.0
# Sampling interval: 0.0 (not used).
# Site: abcd
# Position (L, B, H): 253.601641965, 52.1962622634, 578.574894483
# Position (X, Y, Z): -1106129.71, -3758704.03, 5016675.77
# datetime format: %Y-%m-%dT%H:%M:%S
# Columns: tsn, hour, el, az, validity, tec.l1l2
# (I11,1X,F14.11,1X,F10.5,1X,F11.5,1X,I7,1X,F21.3)
       1480 12.33333333333   21.33239   246.32968    4096                -7.475
       1481 12.34166666667   21.52716   246.43384    4096                -7.639
       1482 12.35000000000   21.72203   246.53817    4096                -7.749
       1483 12.35833333333   21.91699   246.64267    4096                -7.834
       1484 12.36666666667   22.11206   246.74733    4096                -7.828
       1485 12.37500000000   22.30723   246.85216    4096                -7.763
       1486 12.38333333333   22.50251   246.95716    4096                -7.643
       1487 12.39166666667   22.69788   247.06232    4096                -7.720
       1488 12.40000000000   22.89335   247.16764    4096                -7.875
       1489 12.40833333333   23.08892   247.27312    4096                -8.067
       1490 12.41666666667   23.28460   247.37877    4096                -8.309
       1491 12.42500000000   23.48038   247.48458    4096                -8.478
       1492 12.43333333333   23.67626   247.59055    4096                -8.588
       1493 12.44166666667   23.87224   247.69667    4096                -8.694
       1494 12.45000000000   24.06832   247.80296    4096                -8.801
       1495 12.45833333333   24.26450   247.90940    4096                -8.904
       1496 12.46666666667   24.46079   248.01600    4096                -8.926
       1497 12.47500000000   24.65718   248.12276    4096                -8.945
       1498 12.48333333333   24.85367   248.22968    4096                -9.027
       1499 12.49166666667   25.05026   248.33675    4096                -9.143
       1500 12.50000000000   25.24696   248.44397    4096                -9.247
       1501 12.50833333333   25.44376   248.55135    4096                -9.367
       1502 12.51666666667   25.64066   248.65888    4096                -9.424
       1503 12.52500000000   25.83766   248.76656    4096                -9.461
       1504 12.53333333333   26.03477   248.87439    4096                -9.556
       1505 12.54166666667   26.23198   248.98238    4096                -9.536
       1506 12.55000000000   26.42930   249.09051    4096                -9.620
       1507 12.55833333333   26.62672   249.19879    4096                -9.666
       1508 12.56666666667   26.82424   249.30723    4096                -9.741
       1509 12.57500000000   27.02186   249.41581    4096                -9.856
       1510 12.58333333333   27.21959   249.52453    4096                -9.982
       1511 12.59166666667   27.41743   249.63341    4096               -10.017
       1512 12.60000000000   27.61536   249.74242    4096               -10.053
       1513 12.60833333333   27.81341   249.85159    4096               -10.101
       1514 12.61666666667   28.01155   249.96090    4096               -10.216
       1515 12.62500000000   28.20980   250.07035    4096               -10.292
       1516 12.63333333333   28.40816   250.17994    4096               -10.351
       1517 12.64166666667   28.60662   250.28968    4096               -10.392
       1518 12.65000000000   28.80519   250.39955    4096               -10.458
       1519 12.65833333333   29.00386   250.50957    4096               -10.473
       1520 12.66666666667   29.20263   250.61973    4096               -10.527
       1521 12.67500000000   29.40151   250.73003    4096               -10.615
       1522 12.68333333333   29.60050   250.84046    4096               -10.626
       1523 12.69166666667   29.79959   250.95104    4096               -10.703
       1524 12.70000000000   29.99879   251.06175    4096               -10.816
       1525 12.70833333333   30.19809   251.17259    4096               -10.822
       1526 12.71666666667   30.39750   251.28357    4096               -10.838
       1527 12.72500000000   30.59702   251.39469    4096               -10.837
       1528 12.73333333333   30.79664   251.50594    4096               -10.865
       1529 12.74166666667   30.99637   251.61732    4096               -10.874
       1530 12.75000000000   31.19620   251.72884    4096               -10.872
       1531 12.75833333333   31.39614   251.84049    4096               -10.884
       1532 12.76666666667   31.59619   251.95227    4096               -10.887
       1533 12.77500000000   31.79635   252.06418    4096               -10.902
       1534 12.78333333333   31.99661   252.17622    4096               -10.921
       1535 12.79166666667   32.19698   252.28839    4096               -10.977
       1536 12.80000000000   32.39745   252.40069    4096               -10.964
       1537 12.80833333333   32.59803   252.51312    4096               -10.958
       1538 12.81666666667   32.79872   252.62567    4096               -10.988
       1539 12.82500000000   32.99952   252.73835    4096               -10.994
       1540 12.83333333333   33.20043   252.85116    4096               -11.002
       1541 12.84166666667   33.40144   252.96409    4096               -11.020
       1542 12.85000000000   33.60256   253.07714    4096               -11.017
       1543 12.85833333333   33.80379   253.19032    4096               -11.008
       1544 12.86666666667   34.00513   253.30362    4096               -10.982
       1545 12.87500000000   34.20657   253.41705    4096               -10.979
       1546 12.88333333333   34.40812   253.53059    4096               -10.996
       1547 12.89166666667   34.60978   253.64426    4096               -10.994
       1548 12.90000000000   34.81155   253.75805    4096               -10.977
       1549 12.90833333333   35.01343   253.87195    4096               -10.955
       1550 12.91666666667   35.21542   253.98598    4096               -10.938
       1551 12.92500000000   35.41751   254.10012    4096               -10.869
       1552 12.93333333333   35.61972   254.21438    4096               -10.816
       1553 12.94166666667   35.82203   254.32876    4096               -10.803
       1554 12.95000000000   36.02446   254.44325    4096               -10.832
       1555 12.95833333333   36.22699   254.55786    4096               -10.833
       1556 12.96666666667   36.42963   254.67258    4096               -10.863
       1557 12.97500000000   36.63238   254.78742    4096               -10.873
       1558 12.98333333333   36.83524   254.90237    4096               -10.881
       1559 12.99166666667   37.03821   255.01744    4096               -10.879
       1560 13.00000000000   37.24129   255.13261    4096               -10.859
       1561 13.00833333333   37.44447   255.24790    4096               -10.837
       1562 13.01666666667   37.64777   255.36330    4096               -10.820
       1563 13.02500000000   37.85118   255.47880    4096               -10.781
       1564 13.03333333333   38.05470   255.59442    4096               -10.795
       1565 13.04166666667   38.25833   255.71015    4096               -10.800
       1566 13.05000000000   38.46207   255.82598    4096               -10.830
       1567 13.05833333333   38.66592   255.94192    4096               -10.840
       1568 13.06666666667   38.86988   256.05797    4096               -10.835
       1569 13.07500000000   39.07395   256.17412    4096               -10.841
       1570 13.08333333333   39.27813   256.29038    4096               -10.857
       1571 13.09166666667   39.48242   256.40674    4096               -10.858
       1572 13.10000000000   39.68682   256.52321    4096               -10.853
       1573 13.10833333333   39.89133   256.63978    4096               -10.866
       1574 13.11666666667   40.09595   256.75645    4096               -10.884
       1575 13.12500000000   40.30069   256.87323    4096               -10.862
       1576 13.13333333333   40.50553   256.99011    4096               -10.872
       1577 13.14166666667   40.71049   257.10708    4096               -10.895
       1578 13.15000000000   40.91556   257.22416    4096               -10.911
       1579 13.15833333333   41.12073   257.34134    4096               -10.926
       1580 13.16666666667   41.32602   257.45861    4096               -10.892
       1581 13.17500000000   41.53142   257.57598    4096               -10.867
       1582 13.18333333333   41.73694   257.69346    4096               -10.858
       1583 13.19166666667   41.94256   257.81102    4096               -10.828
       1584 13.20000000000   42.14829   257.92869    4096               -10.791
       1585 13.20833333333   42.35414   258.04645    4096               -10.790
       1586 13.21666666667   42.56010   258.16430    4096               -10.772
       1587 13.22500000000   42.76617   258.28225    4096               -10.783
       1588 13.23333333333   42.97235   258.40029    4096               -10.772
       1589 13.24166666667   43.17864   258.51842    4096               -10.766
       1590 13.25000000000   43.38505   258.63665    4096               -10.710
       1591 13.25833333333   43.59157   258.75497    4096               -10.667
       1592 13.26666666667   43.79820   258.87338    4096               -10.637
       1593 13.27500000000   44.00494   258.99188    4096               -10.645
       1594 13.28333333333   44.21179   259.11046    4096               -10.634
       1595 13.29166666667   44.41875   259.22914    4096               -10.619
       1596 13.30000000000   44.62583   259.34791    4096               -10.609
       1597 13.30833333333   44.83302   259.46676    4096               -10.605
       1598 13.31666666667   45.04032   259.58571    4096               -10.586
       1599 13.32500000000   45.24774   259.70473    4096               -10.566
       1600 13.33333333333   45.45526   259.82385    4096               -10.531
       1601 13.34166666667   45.66290   259.94305    4096               -10.542
       1602 13.35000000000   45.87065   260.06233    4096               -10.516
       1603 13.35833333333   46.07851   260.18170    4096               -10.506
       1604 13.36666666667   46.28649   260.30115    4096               -10.493
       1605 13.37500000000   46.49457   260.42069    4096               -10.462
       1606 13.38333333333   46.70277   260.54030    4096               -10.459
       1607 13.39166666667   46.91109   260.66000    4096               -10.459
       1608 13.40000000000   47.11951   260.77978    4096               -10.434
       1609 13.40833333333   47.32805   260.89964    4096               -10.435
       1610 13.41666666667   47.53670   261.01958    4096               -10.418
       1611 13.42500000000   47.74546   261.13960    4096               -10.413
       1612 13.43333333333   47.95433   261.25969    4096               -10.391
       1613 13.44166666667   48.16332   261.37987    4096               -10.363
       1614 13.45000000000   48.37242   261.50012    4096               -10.326
       1615 13.45833333333   48.58163   261.62045    4096               -10.292
       1616 13.46666666667   48.79095   261.74086    4096               -10.263
       1617 13.47500000000   49.00039   261.86134    4096               -10.258
       1618 13.48333333333   49.20994   261.98190    4096               -10.243
       1619 13.49166666667   49.41960   262.10253    4096               -10.241
       1620 13.50000000000   49.62937   262.22323    4096               -10.257
       1621 13.50833333333   49.83926   262.34401    4096               -10.240
       1622 13.51666666667   50.04926   262.46486    4096               -10.223
       1623 13.52500000000   50.25937   262.58578    4096               -10.209
       1624 13.53333333333   50.46959   262.70678    4096               -10.175
       1625 13.54166666667   50.67993   262.82784    4096               -10.173
       1626 13.55000000000   50.89037   262.94898    4096               -10.143
       1627 13.55833333333   51.10093   263.07019    4096               -10.149
       1628 13.56666666667   51.31160   263.19146    4096               -10.134
       1629 13.57500000000   51.52239   263.31281    4096               -10.113
       1630 13.58333333333   51.73329   263.43422    4096               -10.086
       1631 13.59166666667   51.94429   263.55570    4096               -10.077
       1632 13.60000000000   52.15541   263.67725    4096               -10.053
       1633 13.60833333333   52.36665   263.79886    4096               -10.045
       1634 13.61666666667   52.57799   263.92054    4096               -10.039
       1635 13.62500000000   52.78945   264.04229    4096               -10.017
       1636 13.63333333333   53.00102   264.16410    4096               -10.004
       1637 13.64166666667   53.21270   264.28598    4096                -9.994
       1638 13.65000000000   53.42449   264.40792    4096                -9.984
       1639 13.65833333333   53.63639   264.52992    4096                -9.949
       1640 13.66666666667   53.84841   264.65199    4096                -9.909
       1641 13.67500000000   54.06053   264.77412    4096                -9.902
       1642 13.68333333333   54.27277   264.89631    4096                -9.892
       1643 13.69166666667   54.48512   265.01856    4096                -9.883
       1644 13.70000000000   54.69758   265.14088    4096                -9.869
       1645 13.70833333333   54.91016   265.26325    4096                -9.856
       1646 13.71666666667   55.12284   265.38569    4096                -9.839
       1647 13.72500000000   55.33564   265.50818    4096                -9.818
       1648 13.73333333333   55.54854   265.63073    4096                -9.792
       1649 13.74166666667   55.76156   265.75335    4096                -9.777
       1650 13.75000000000   55.97469   265.87602    4096                -9.775
       1651 13.75833333333   56.18792   265.99875    4096                -9.775
       1652 13.76666666667   56.40127   266.12154    4096                -9.734
       1653 13.77500000000   56.61473   266.24438    4096                -9.703
       1654 13.78333333333   56.82830   266.36728    4096                -9.683
       1655 13.79166666667   57.04198   266.49024    4096                -9.662
       1656 13.80000000000   57.25578   266.61325    4096                -9.642
       1657 13.80833333333   57.46968   266.73632    4096                -9.611
       1658 13.81666666667   57.68369   266.85944    4096                -9.581
       1659 13.82500000000   57.89781   266.98262    4096                -9.556
       1660 13.83333333333   58.11204   267.10585    4096                -9.545
       1661 13.84166666667   58.32638   267.22914    4096                -9.516
       1662 13.85000000000   58.54083   267.35248    4096                -9.501
       1663 13.85833333333   58.75539   267.47587    4096                -9.481
       1664 13.86666666667   58.97006   267.59932    4096                -9.456
